label,mfcc0,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12
# Recording started!
clap,-44.932899,10.744505,1.474837,2.363349,0.746314,0.875029,0.772133,1.108739,2.459893,1.775187,0.611382,-0.442648,0.147143
clap,-82.871201,8.101892,3.001835,1.914218,1.674976,1.643950,2.315458,2.765314,2.746449,1.881001,0.815823,0.273339,0.198759
clap,-77.289238,9.409089,3.993108,3.042479,1.050782,3.112716,2.529009,0.979116,1.829794,2.262049,1.757190,1.174975,-0.006356
clap,-42.426506,10.709744,3.382625,3.484265,2.184289,3.488863,3.042189,1.151035,0.627776,0.934923,1.930035,0.170591,0.204922
clap,-87.816643,6.770704,1.496458,1.117659,1.296573,1.738758,1.629511,1.184852,0.465234,0.926003,1.520044,1.640931,0.858828
clap,-62.407482,7.435201,1.504728,2.141686,1.805671,3.005848,2.448514,1.556000,1.794006,0.774608,1.756524,0.730925,1.280028
clap,1.837619,12.826257,-0.369460,1.737736,-0.376703,0.017738,-0.036412,-0.820752,-0.502064,-1.406451,0.546391,2.284124,-0.032532
clap,-85.607437,6.123590,2.576450,2.827994,3.953581,4.290833,3.466221,1.827891,1.635006,2.932041,2.892393,2.399595,2.101940
clap,-62.350109,8.862014,1.203849,2.489944,3.725539,3.983071,1.829624,0.039923,1.097963,0.890196,1.461712,0.645132,-0.051001
clap,-86.396881,7.076844,3.453873,2.621800,4.315524,3.376382,2.444630,1.845217,1.924061,1.701914,1.222029,0.905455,0.787935
clap,-84.610374,6.011563,2.582608,2.343736,4.216403,5.426535,2.883578,1.985454,1.658127,2.363489,1.195761,0.159588,1.382281
clap,-45.984211,5.695166,0.959954,3.263793,1.805779,2.804563,3.770419,1.317338,-0.076338,1.287217,1.553340,0.423687,0.903004
clap,-89.199326,4.238852,1.787487,3.162885,4.656177,4.976399,4.694379,2.683208,1.230592,2.715802,1.572999,1.790772,0.041126
clap,-73.037315,6.723298,3.534268,3.390328,3.854714,5.694915,3.232516,1.799307,0.343504,1.201493,1.519117,0.997541,0.439683
